player_id,player_name,year,max_ev,hard_hit_pct,barrel_pct
519299,"Sogard, Eric",2015,107.5,18.7,0.3
425567,"Rios, Alex",2015,109.4,31.8,2.5
461235,"Moss, Brandon",2015,113.7,39.5,11.7
514917,"Hernández, César",2015,107.2,26.9,1.2
628356,"Kang, Jung Ho",2015,113.1,46.4,9.6
444843,"Ethier, Andre",2015,110.9,32.5,5.9
518692,"Freeman, Freddie",2015,110.0,44.7,11.3
501896,"Freese, David",2015,114.1,38.4,7.2
452220,"Drew, Stephen",2015,107.2,25.7,3.1
576397,"Gyorko, Jedd",2015,109.3,35.4,6.3
457759,"Turner, Justin",2015,107.6,37.9,7.2
461815,"Murphy, David",2015,109.5,35.2,3.1
572191,"Taylor, Michael A.",2015,112.7,35.6,6.3
400284,"Utley, Chase",2015,104.9,34.4,2.8
543510,"McCann, James",2015,108.3,37.3,3.5
605125,"Asche, Cody",2015,109.0,33.0,5.7
570560,"Sánchez, Yolmer",2015,105.9,20.6,1.3
592626,"Pederson, Joc",2015,114.3,45.2,11.8
518960,"Lucroy, Jonathan",2015,110.3,33.8,4.1
621043,"Correa, Carlos",2015,115.1,40.6,8.9
407893,"Teixeira, Mark",2015,111.2,41.3,9.3
476883,"Álvarez, Pedro",2015,115.4,47.1,12.3
571506,"Bour, Justin",2015,115.0,43.0,8.7
475174,"Alonso, Yonder",2015,107.8,33.7,3.2
571697,"Gennett, Scooter",2015,103.6,22.5,1.0
572365,"Goins, Ryan",2015,106.5,32.1,2.6
430910,"Peña, Brayan",2015,104.9,17.2,0.3
452234,"Smith, Seth",2015,110.8,42.4,7.9
543068,"Cron, C.J.",2015,113.9,35.8,8.7
425560,"LaRoche, Adam",2015,109.2,35.9,8.1
630111,"Tomás, Yasmany",2015,112.6,38.0,4.0
514913,"Tejada, Rubén",2015,103.9,23.8,2.4
150212,"Cuddyer, Michael",2015,110.4,30.8,4.5
460026,"Hundley, Nick",2015,108.6,35.1,3.8
435063,"Napoli, Mike",2015,111.6,38.3,8.3
543305,"Hicks, Aaron",2015,107.8,33.3,3.1
553993,"Suárez, Eugenio",2015,109.8,33.5,5.3
543807,"Springer, George",2015,114.2,41.5,9.5
608070,"Ramírez, José",2015,106.7,24.0,1.8
458675,"Rasmus, Colby",2015,110.3,35.5,9.6
346874,"Uribe, Juan",2015,110.5,35.6,5.7
475582,"Zimmerman, Ryan",2015,111.3,48.4,9.7
503556,"Gonzalez, Marwin",2015,108.3,34.3,3.6
506560,"Amarista, Alexi",2015,104.1,16.2,1.1
446386,"Guyer, Brandon",2015,108.1,29.1,3.3
501981,"Davis, Khris",2015,110.8,42.9,14.7
453923,"Blanco, Grégor",2015,108.5,31.7,2.2
434658,"Davis, Rajai",2015,109.4,28.3,3.0
502082,"Chisenhall, Lonnie",2015,108.9,30.5,3.3
502143,"Valencia, Danny",2015,112.6,46.6,10.1
457787,"Espinosa, Danny",2015,109.0,28.5,6.4
518735,"Grandal, Yasmani",2015,115.1,42.3,9.0
460086,"Gordon, Alex",2015,110.8,34.1,5.2
431094,"Hill, Aaron",2015,105.1,29.6,2.2
543228,"Gomes, Yan",2015,107.7,32.8,6.4
448602,"Reynolds, Mark",2015,114.1,33.1,8.4
449107,"Aviles, Mike",2015,106.4,30.6,0.8
519208,"Robinson, Clint",2015,113.2,35.7,5.0
461416,"Venable, Will",2015,115.2,33.5,2.3
571875,"Lamb, Jake",2015,109.3,37.9,6.3
456078,"Castillo, Welington",2015,110.5,36.5,10.6
517370,"Paredes, Jimmy",2015,113.8,42.9,5.5
150029,"Werth, Jayson",2015,112.7,40.7,7.9
596748,"Franco, Maikel",2015,111.0,37.2,5.9
543376,"Joseph, Caleb",2015,108.3,31.7,5.6
425796,"Francoeur, Jeff",2015,108.0,33.3,4.8
455759,"Young, Chris",2015,109.6,26.0,4.8
624585,"Soler, Jorge",2015,116.2,43.1,10.1
471083,"Montero, Miguel",2015,109.1,35.2,8.5
457477,"De Aza, Alejandro",2015,105.4,23.3,2.9
543685,"Rendon, Anthony",2015,108.3,35.5,4.9
474892,"Carter, Chris",2015,113.8,46.9,15.5
434563,"Ruiz, Carlos",2015,104.3,18.0,1.6
545350,"Marisnick, Jake",2015,110.8,26.2,5.3
499624,"Colabello, Chris",2015,111.6,43.9,9.2
605486,"Spangenberg, Cory",2015,110.6,32.2,1.3
430203,"DeJesus, David",2015,109.1,27.3,2.1
453539,"Fuld, Sam",2015,104.0,21.8,1.3
572019,"Paulsen, Ben",2015,112.0,34.2,5.9
605512,"Tucker, Preston",2015,112.1,38.8,5.6
519306,"Souza Jr., Steven",2015,113.2,39.0,9.5
452095,"Flowers, Tyler",2015,114.2,39.6,4.8
430637,"Johnson, Kelly",2015,108.7,33.9,8.3
570731,"Schoop, Jonathan",2015,114.7,40.6,8.7
572287,"Zunino, Mike",2015,110.6,33.8,8.8
456665,"Pearce, Steve",2015,108.3,31.9,5.3
488771,"Castro, Jason",2015,109.5,30.7,5.8
452655,"Span, Denard",2015,109.0,32.7,2.7
547982,"Martin, Leonys",2015,110.2,30.0,2.2
628329,"Castillo, Rusney",2015,108.2,32.1,2.7
425784,"Rivera, René",2015,109.4,28.3,6.4
624577,"Puig, Yasiel",2015,112.6,36.9,8.8
542208,"Pérez, Carlos",2015,106.4,23.7,0.9
429713,"Sizemore, Grady",2015,107.4,36.4,4.2
545341,"Grichuk, Randal",2015,112.0,46.3,16.8
596119,"Swihart, Blake",2015,111.2,27.2,2.8
