player_name,player_id,pa,avg_bat_speed,hard_hit_pct,barrel_pct,bb_pct,contact_pct,avg,obp,slg,iso
Josh Naylor,647304,633,72.9,40.9,8.4,9.2,79.4,0.243,0.32,0.456,0.213
Brandon Lowe,664040,425,73.4,44.7,12.4,7.8,69.8,0.244,0.311,0.473,0.229
Xavier Edwards,669364,303,64.5,24.3,1.8,10.9,84.8,0.328,0.397,0.423,0.094
Michael Busch,683737,567,70.3,39.9,11.2,11.1,74.5,0.248,0.335,0.44,0.192
Bryan Reynolds,668804,692,71.6,45.4,9.6,8.2,72.9,0.275,0.344,0.447,0.172
Jake Rogers,668670,337,70.7,41.8,9.9,6.5,69.3,0.197,0.255,0.352,0.155
Logan O'Hoppe,681351,522,70.7,46.3,12.0,6.3,68.6,0.244,0.303,0.409,0.165
Cedric Mullins,656775,499,71.0,33.4,4.9,8.2,82.4,0.234,0.305,0.405,0.171
Lourdes Gurriel Jr.,666971,553,70.6,40.0,6.7,5.2,81.2,0.279,0.322,0.435,0.156
Ernie Clement,676391,452,66.8,24.9,3.8,2.4,87.6,0.263,0.284,0.408,0.145
Cody Bellinger,641355,569,69.0,32.9,6.3,7.9,79.9,0.266,0.325,0.426,0.161
Jake Cronenworth,630105,656,69.5,36.7,7.8,9.3,84.9,0.241,0.324,0.39,0.149
Pete Alonso,624413,695,75.2,46.4,13.2,10.1,77.3,0.24,0.329,0.459,0.219
Isiah Kiner-Falefa,643396,496,67.0,29.7,2.3,3.2,87.3,0.269,0.306,0.376,0.108
Geraldo Perdomo,672695,388,66.9,25.8,3.1,9.3,89.9,0.273,0.344,0.374,0.101
Xander Bogaerts,593428,463,70.7,33.2,5.1,6.0,83.4,0.264,0.307,0.381,0.117
Michael Harris II,671739,470,74.7,47.0,10.0,4.9,76.5,0.264,0.304,0.418,0.155
Randy Arozarena,668227,648,72.7,43.5,8.3,11.3,72.9,0.219,0.332,0.388,0.169
J.T. Realmuto,592663,413,73.2,46.6,10.4,6.5,77.5,0.266,0.322,0.429,0.163
Shea Langeliers,669127,534,74.1,44.0,12.8,7.7,73.4,0.224,0.288,0.45,0.226
Jake Meyers,676694,513,68.6,37.0,6.8,6.8,74.4,0.219,0.286,0.36,0.141
Freddy Fermin,666023,368,70.8,33.9,3.2,6.2,79.3,0.271,0.319,0.366,0.094
Yandy Díaz,650490,621,73.3,48.7,7.6,8.1,87.6,0.281,0.341,0.414,0.133
José Caballero,676609,483,69.7,25.2,5.1,5.6,72.9,0.227,0.283,0.347,0.12
Ryan McMahon,641857,645,72.5,49.7,10.9,10.7,72.2,0.242,0.325,0.397,0.155
Josh Rojas,668942,476,66.6,38.2,5.7,9.7,77.5,0.225,0.304,0.336,0.111
Francisco Alvarez,682626,342,73.5,42.0,6.7,8.8,73.2,0.237,0.307,0.403,0.166
CJ Abrams,682928,602,72.2,40.7,6.9,6.6,77.2,0.246,0.314,0.433,0.187
Spencer Horwitz,687462,381,69.5,36.6,8.0,11.0,83.1,0.265,0.357,0.433,0.168
Travis d'Arnaud,518595,341,71.4,41.0,10.4,7.0,70.8,0.238,0.302,0.436,0.199
Jose Siri,642350,448,72.5,41.6,14.7,6.9,60.2,0.187,0.255,0.366,0.179
Gleyber Torres,650402,665,70.1,35.4,6.3,9.8,79.5,0.257,0.33,0.378,0.121
Bryson Stott,681082,571,68.2,30.8,3.6,9.3,85.5,0.245,0.315,0.356,0.111
Paul DeJong,657557,482,72.0,41.5,10.2,4.8,67.2,0.227,0.276,0.427,0.2
Carson Kelly,608348,313,69.5,39.4,6.6,8.0,78.8,0.238,0.313,0.374,0.135
David Fry,681807,392,70.5,37.6,7.5,10.7,77.2,0.263,0.356,0.448,0.185
