Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Alex Bregman","HOU",145,634,26,79,75,3,0.06940063,0.135646687,0.192771085,0.264270613,0.259896729,0.315457413,0.452667814,0.3307042115295856,0.31905949266651007,117.20282126136706,-2.32157251983881,10.157851530299427,9.07112717628479,4.156236627614604,"Alex Bregman",17678,608324
"Jazz Chisholm Jr.","- - -",147,621,24,74,73,40,0.085346215,0.244766505,0.179715302,0.30927835,0.256227758,0.323671497,0.43594306,0.32729744707996195,0.3162509098115107,110.69860007689752,6.157852970063686,13.772830977390301,4.2822107672691345,4.0030753627059115,"Jazz Chisholm Jr.",20454,665862
"Julio Rodríguez","SEA",143,613,20,76,68,24,0.061990212,0.254486133,0.135802469,0.34351145,0.273368606,0.324632952,0.409171075,0.32055336402522194,0.34387092341005415,116.13648348758166,1.9585171416401863,13.276655008431439,4.657743453979492,3.9506480342833514,"Julio Rodriguez",23697,677594
"Freddie Freeman","LAD",147,638,22,81,89,9,0.122257053,0.156739811,0.193726938,0.306074766,0.282287822,0.377742946,0.47601476,0.36535710949207906,0.36366374021882464,135.79948589731632,-1.4705990627408028,25.841731057288726,-8.921481013298035,3.9501572648169248,"Freddie Freeman",5361,518692
"Riley Greene","DET",137,584,24,82,74,4,0.109589041,0.267123287,0.216796875,0.329341317,0.26171875,0.34819897,0.478515625,0.35539623961366457,0.35334349094677137,133.72925301154325,-0.1670323684811592,22.37147637468277,-3.6058192253112793,3.9372256268678005,"Riley Greene",25976,682985
"Jackson Chourio","MIL",148,573,21,80,79,22,0.068062827,0.211169284,0.189393939,0.319587628,0.274621212,0.326923076,0.464015151,0.33854969905715593,0.3278397925106096,117.99710439718523,3.9631444588303566,16.294719278040255,2.5781469345092773,3.9274088466165615,"Jackson Chourio",28806,694192
"Nico Hoerner","CHC",151,641,7,86,48,31,0.068642745,0.102964118,0.099656357,0.296875,0.273195876,0.335413416,0.372852233,0.3131190129555762,0.31322525812426644,101.89869300171439,4.9888085797429085,6.44418074163729,9.797253847122192,3.8904081388463077,"Nico Hoerner",21479,663538
"Trea Turner","PHI",121,539,21,88,62,19,0.050092764,0.181818181,0.174257426,0.330749354,0.295049504,0.337662337,0.46930693,0.3490665514084315,0.3170273084801536,122.75492973144709,2.6365917176008224,17.30306003082867,2.0466654300689697,3.8592739991692535,"Trea Turner",16252,607208
"Jose Altuve","HOU",153,682,20,94,65,22,0.068914956,0.174486803,0.144904458,0.337423312,0.294585987,0.350439882,0.439490445,0.344237520589548,0.3162080205768478,126.72242722685445,-0.7089373022317886,20.143935064171327,-5.394512057304382,3.857912079547575,"Jose Altuve",5417,514888
"Eugenio Suárez","ARI",158,640,30,90,101,2,0.0765625,0.275,0.213660246,0.308510638,0.255691768,0.31875,0.469352014,0.3372951490804553,0.33114331323395735,115.44647922839142,-1.114725163206458,10.706725202296505,5.168506145477295,3.849135035198385,"Eugenio Suarez",12552,553993
